Country_from,Country_to,Total_number_particles_released,Average_daily_particles_inside_EEZ
Indonesia,Australia,390636,110.91
Fiji,Australia,6122,12.592
Vanuatu,Australia,2337,6.7444
Papua New Guinea,Australia,9525,4.8078
Philippines,Australia,215974,4.1962
Vietnam,Australia,176511,3.8257
East Timor,Australia,3390,3.2787
South Africa,Australia,100943,2.5649
China,Australia,752074,2.0412
Malaysia,Australia,106756,1.6821
Solomon Islands,Australia,1943,1.6407
Sri Lanka,Australia,220728,1.2852
Thailand,Australia,100406,0.77173
Samoa,Australia,693,0.60609
India,Australia,74284,0.14622
Somalia,Australia,11258,0.11841
Maldives,Australia,3626,0.073751
Tanzania,Australia,4878,0.033881
Comoro Islands,Australia,6292,0.031828
New Zealand,Australia,742,0.024384
Myanmar,Australia,56007,0.014203
Mozambique,Australia,5381,0.013518
Peru,Australia,25239,0.0088125
Mauritius,Australia,7031,0.0079569
Singapore,Australia,742,0.006588
Pakistan,Australia,51621,0.005989
Kenya,Australia,2084,0.0056468
Madagascar,Australia,3443,0.0023101
Ecuador,Australia,10999,0.0013689
Australia,Australia,1071,3.93
Australia,New Zealand,1071,0.8
Australia,New Caledonia,1071,0.18
Australia,Fiji,1071,0.04
Australia,Vanuatu,1071,0.01
